name_kor,name_eng,date_of_birth,url
김일권,Il-Kwon Kim,1956-09-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1013
김경훈,Kyung-Hoon Kim,1957-01-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=1055
조충열,Chung-Yeol Cho,1959-02-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=1030
차영화,Young-Hwa Cha,1957-06-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=1033
김종모,Jong-Mo Kim,1959-11-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1064
김종윤,Jong-Yoon Kim,1957-06-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1065
김준환,Jun-Hwan Kim,1955-05-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1015
김성한,Sung-Han Kim,1958-05-18,https://statiz.sporki.com/player/?m=playerinfo&p_no=12726
홍순만,Soon-Man Hong,1957-07-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1103
이상윤,Sang-Yoon Lee,1960-12-21,https://statiz.sporki.com/player/?m=playerinfo&p_no=1085
강만식,Man-Sik Kang,1957-02-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1119
임정면,Jung-Myun Lim,1958-09-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1092
김우근,Woo-Geun Kim,1956-01-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1010
방수원,Soo-Won Bang,1960-01-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1076
박전섭,Jeon-Sub Park,1959-02-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1074
최영조,Young-Jo Choi,1963-01-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1098
신태중,Tae-Joong Shin,1955-06-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=1081
김봉연,Bong-Yeon Kim,1952-01-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=1005
김용만,Yong-Man Kim,1958-07-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1060
김용남,Yong-Nam Kim,1958-02-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1059
김일환,Il-Hwan Kim,1954-01-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1061
서정환,Jung-Hwan Seo,1955-07-05,https://statiz.sporki.com/player/?m=playerinfo&p_no=1042
김현재,Hyun-Jae Kim,1956-06-04,https://statiz.sporki.com/player/?m=playerinfo&p_no=1181
주동식,Dong-Sik Joo,1948-08-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1178
장진범,Jin-Beom Jang,1959-01-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=1167
김무종,Moo-Jong Kim,1954-04-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1137
엄평재,Um Pyungjae,1960-10-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=1187
양승호,Seung-Ho Yang,1960-01-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=1147
황기선,Ki-Sun Hwang,1958-06-02,https://statiz.sporki.com/player/?m=playerinfo&p_no=1192
조종규,Jong-Gyu Cho,1955-10-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=1169
송일섭,Il-Sub Song,1959-08-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1159
강정남,Jung-Nam Kang,1960-08-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1201
유승안,Seung-An Yu,1956-06-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1083
문희수,Hee-Soo Moon,1965-03-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1225
조도연,Do-Yeon Cho,1961-08-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=1230
최상주,Sang-Ju Choi,1962-08-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1267
송유석,Yu-Seok Song,1966-07-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=1365
이순철,Soon-Chul Lee,1961-04-18,https://statiz.sporki.com/player/?m=playerinfo&p_no=1250
선동열,Dong-Yeol Sun,1963-01-10,https://statiz.sporki.com/player/?m=playerinfo&p_no=1263
임창호,Chang-Ho Lim,1959-01-05,https://statiz.sporki.com/player/?m=playerinfo&p_no=1253
김기철,Gi-Chul Kim,1962-05-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=1233
신태순,Tae-Soon Shin,1962-02-13,https://statiz.sporki.com/player/?m=playerinfo&p_no=1264
김태업,Tae-Up Kim,1962-02-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1238
한대화,Dae-Hwa Han,1960-07-08,https://statiz.sporki.com/player/?m=playerinfo&p_no=1144
김평호,Pyung-Ho Kim,1963-12-23,https://statiz.sporki.com/player/?m=playerinfo&p_no=1270
김경호,Kyung-Ho Kim,1963-04-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1280
장채근,Chae-Geun Jang,1964-03-28,https://statiz.sporki.com/player/?m=playerinfo&p_no=1271
김대현,Dae-Hyun Kim,1962-06-16,https://statiz.sporki.com/player/?m=playerinfo&p_no=1313
차동철,Dong-Chul Cha,1963-01-27,https://statiz.sporki.com/player/?m=playerinfo&p_no=1316
신동수,Dong-Soo Shin,1966-10-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=1327
김정수,Jung-Soo Kim,1962-07-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=1314
이건열,Geon-Yeol Lee,1963-04-25,https://statiz.sporki.com/player/?m=playerinfo&p_no=1300
강상진,Sang-Jin Kang,1962-04-17,https://statiz.sporki.com/player/?m=playerinfo&p_no=1317
김만후,Man-Hoo Kim,1964-03-26,https://statiz.sporki.com/player/?m=playerinfo&p_no=1341
박철우,Chul-Woo Park,1964-04-12,https://statiz.sporki.com/player/?m=playerinfo&p_no=1337
조재환,Jae-Hwan Cho,1964-11-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1340
백인수,In-Soo Baek,1963-05-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1338
서창기,Chang-Ki Seo,1965-03-07,https://statiz.sporki.com/player/?m=playerinfo&p_no=1389
김성규,Sung-Kyu Kim,1965-12-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1372
윤재호,Jae-Ho Yun,1967-03-06,https://statiz.sporki.com/player/?m=playerinfo&p_no=1448
김태완,Tae-Wahn Kim,1966-08-20,https://statiz.sporki.com/player/?m=playerinfo&p_no=1422
이광우,Kwang-Woo Lee,1965-03-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=1426
이강철,Kang-Chul Lee,1966-05-24,https://statiz.sporki.com/player/?m=playerinfo&p_no=13923
박병호,Byung-Ho Park,1970-07-09,https://statiz.sporki.com/player/?m=playerinfo&p_no=1440
조계현,Kye-Hyeon Cho,1964-05-01,https://statiz.sporki.com/player/?m=playerinfo&p_no=12724
장호익,Ho-Ik Jang,1965-05-11,https://statiz.sporki.com/player/?m=playerinfo&p_no=1424
문승훈,Seung-Hoon Moon,1966-03-14,https://statiz.sporki.com/player/?m=playerinfo&p_no=11428
강태원,Tae-Won Kang ,1971-05-15,https://statiz.sporki.com/player/?m=playerinfo&p_no=1467
이경복,Kyung-Bok Lee,1970-11-19,https://statiz.sporki.com/player/?m=playerinfo&p_no=1449
김정훈,Jung-Hoon Kim,1970-07-29,https://statiz.sporki.com/player/?m=playerinfo&p_no=1580
